Question Text,Option 1 Text,Option 1 Next Question,Option 1 Movie ID,Option 2 Text,Option 2 Next Question,Option 2 Movie ID,Option 3 Text,Option 3 Next Question,Option 3 Movie ID,Option 4 Text,Option 4 Next Question,Option 4 Movie ID,Option 5 Text,Option 5 Next Question,Option 5 Movie ID,Option 6 Text,Option 6 Next Question,Option 6 Movie ID,Option 7 Text,Option 7 Next Question,Option 7 Movie ID,Option 8 Text,Option 8 Next Question,Option 8 Movie ID,Option 9 Text,Option 9 Next Question,Option 9 Movie ID,Option 10 Text,Option 10 Next Question,Option 10 Movie ID,Option 11 Text,Option 11 Next Question,Option 11 Movie ID,Option 12 Text,Option 12 Next Question,Option 12 Movie ID,Option 13 Text,Option 13 Next Question,Option 13 Movie ID
I like movies that...,Let me get in the Halloween spirit (Light or no scares),2,,Scare me some,,alien-1979,Drag me to hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show me...,Classics,,the-empty-man-2020,Foreign Language Fun,,,Documentaries,,,Prestige films,,,I rather my scares happen at another time of year,,,Something unique,,,Odd takes on horror classics,,,Horror with laughs,,,Less scary offerings by horror masters,,,What the kids are up to,,,Hidden gems,,,Lesser known slashers,,,It doesn't have to be live action to be scary,,
