Film,Scare Level,Quality Level ,Gore Level ,Trailer
The Shining (1980),Drag Me to Hell,Masterpiece,Paper Cut,https://www.youtube.com/watch?v=S014oGZiSdI
The Texas Chain Saw Massacre (1974),Drag Me to Hell,Excellent,Buckets & Buckets,https://www.youtube.com/watch?v=kqAYR6z7yAU
Rosemary's Baby (1968),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=BjpA6IH_Skc
Cache (2005),Drag Me to Hell,Good,Not a Dop,https://www.youtube.com/watch?v=pvT_9TqIEtM
Gerald's Game (2017),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=twbGU2CqqQU
Henry: Portrait of a Serial Killer (1986),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=qxxZ8yspQyw
Unsane (2018),Drag Me to Hell,Good,Not a Dop,https://www.youtube.com/watch?v=u7KZrt_cHH0
Angst (1983),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=P5MSigtzSjY
The Exorcist (1973),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=MK5ih8qExC0
Messiah of Evil (1973),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=NlRxZdpqodQ
Martyrs (2008),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=F8RDYD6VhpI
The Witch (2016),Drag Me to Hell,Great ,Paper Cut,https://www.youtube.com/watch?v=iQXmlf3Sefg
Cure (1997),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=JL3FSimRztM
Creepy (2016),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=7kI_ACTcdEw
Pulse (2001),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=MpsXvHMUQ3Q
The Serpent and the Rainbow (1988),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=EPWTvbTWhZc
Nightmare on Elm Street (1984),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=dCVh4lBfW-c
Scream (1996),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=QGu3aFzMWmQ
Halloween (1978),Drag Me to Hell,Excellent,Missing Limbs,
In the Mouth of Madness (1996),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=AlugldzO9zY
Mulholland Drive (2001),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=7KgH9n1c4mM
Eraserhead (1977),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=7WAzFWu2tVw
Twin Peaks: Fire Walk with Me (1992),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=I9Ey1FQVIO8
The Sadness (2021),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=jAZR5mhK_1I
Baskin (2018),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=nFKqAE2eBUg
It Follows (2015),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=HkZYbOH0ujw
Babadook (2014),Drag Me to Hell,Excellent,Paper Cut,https://www.youtube.com/watch?v=k5WQZzDRVtw
Carrie (1974),Drag Me to Hell,Great ,Paper Cut,https://www.youtube.com/watch?v=j9Mg-GRS46Y
Body Double (1984),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=3Jebb-wWDS4
Sisters (1973),Drag Me to Hell,Great ,Paper Cut,https://www.youtube.com/watch?v=SDgLTd_lVzc
Broadcast Signal Intrusion (2021),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=YH985k5hDfw
Storm of the Century (1999),Drag Me to Hell,Meh,Paper Cut,https://www.youtube.com/watch?v=HeDnEi7DvN8
Langoliers (1995),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=zJocfhzC6xU
Midnight Meat Train (2008),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=wtUiRfMy_uI
Nightbreed (1990),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=gKXnT8FVleY
Smile (2022),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=BcDK7lkzzsU
Cigarette Burns (2005),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=G0AduCtrKVE
Pyewacket (2017),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=W59htJEYzOg
The Descent (2005),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=CSYg7Z1KS_I
The Funhouse (1981),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=teb0r_wdLyc
Session 9 (2021),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=4s-5eJq47bY
Candyman (1992),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=tlwzuZ9kOQU
