Film,Scare Level,Quality Level ,Gore Level ,Trailer
The Mummy (1999),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=f7oKxlaUBac
Rear Window (1954,Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=m01YktiEZCw
Buffy The Vampire Slayer (1992),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=cw584-A9sAU
"It's the Great Pumpkin, Charlie Brown (1966)",Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=yShuc_qpnZk
Clue (1984),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=5GfxyYgoMHY
Scooby-Doo (2002),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=o3dbeI0BU1k
Gremlins (1984),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=XBEVwaJEgaA
Little Shop of Horrors (1986),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=QqFZuR6UzjA
The Midnight Hour (1985),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=ZCU_vEuZH3g
Whatever Happened to Baby Jane (1962),Easy Watching for the Faint of Heart,Great ,Not a Dop,https://www.youtube.com/watch?v=Cth9aakWf38
Men in Black (1997),Easy Watching for the Faint of Heart,Great ,Missing Limbs,https://www.youtube.com/watch?v=UxUTTrU6PA4
Attack the Block (2011),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=m0ntk1o4V3k
ParaNorman (2012),Easy Watching for the Faint of Heart,Excellent,Paper Cut,https://www.youtube.com/watch?v=hgwSpajMw3s
The Monkey (2025),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=KPxmK_ihDO8
Children of the Corn (1984),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=dClKllEv5MU
Hellraiser (1987),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=OpEQNEHKdXg
Hellraiser II (1988),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=YkAVPV9m7xk
Weapons (2025),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=OpThntO9ixc
28 Years Later (2025),Scare Me Some,Good,Buckets & Buckets,https://www.youtube.com/watch?v=mcvLKldPM08
28 Weeks Later (2007),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=gPOt4mAEfBE
Final Destination (2000),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=9ag5hfs9wKM
Gonjiam (2018) ,Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=KKGJTgnkQA8
Incantation (2022),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=HnyNZdcL_GY
Thesis (1996),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=6-RsSaBjpaI
Red Rooms (2024),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=VGZOwN1uK34
Prince of Darkness (1987),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=PkBSEWy8WfY
Terrifier (2016),Drag Me to Hell,Meh,Buckets & Buckets,https://www.youtube.com/watch?v=JJ9nrpdFE8o
Maniac Cop (1988),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=cW7KqfSToQU
The Burbs (1989),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=cJ7bZpwzNfg
Manhunter (1986),Scare Me Some,Excellent,Missing Limbs,https://www.youtube.com/watch?v=Nbpk0pv60DE
Dark Water (2002),Scare Me Some,Good,Paper Cut,https://www.youtube.com/watch?v=1Lfzcd0zV5A
9 (2009),Scare Me Some,Good,Not a Dop,https://www.youtube.com/watch?v=_qApXdc1WPY
Man Bites Dog (1992),Scare Me Some,Great ,Missing Limbs,https://www.youtube.com/watch?v=3HFuTY3HpV8
The Birthday (2006),Scare Me Some,Good,Missing Limbs,https://www.youtube.com/watch?v=aAOVCjQDXQc
A Ghost Story,Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=c_3NMtxeyfk
Maximum Overdrive (1986),Easy Watching for the Faint of Heart,Good,Missing Limbs,https://www.youtube.com/watch?v=IniwjSfs4fs
Spider Baby (1967),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=_wSGLxo2OCY
Arsenic and Old Lace (1944),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=GCWBDwkhGN0
Creature from the Black Lagoon,Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=svyPswixryM
Abbott and Costello Meet Frankenstein (1948),Easy Watching for the Faint of Heart,Great ,Not a Dop,https://www.youtube.com/watch?v=j6l8auIACyc
Halloween (2018),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=ek1ePFp-nBI
Nosfferatu (2024),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=nulvWqYUM8k
Wrong Turn (2021),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=rDdGpjjtq-o
Hellraiser (2022),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=oUlgwJNdu2I
Lords of Salem (2012),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=Y606RoSur8o
Last Shift (2015),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=3p0KIrh8hyM
Skelton Frolic,Easy Watching for the Faint of Heart,Great ,Not a Dop,https://www.youtube.com/watch?v=vXkQSiJG7fk
Talk to Me (2023),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=aLAKJu9aJys
Berberian Sound Studio (2012),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=SKOPh5ZEciQ
The Mist (2007),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=2B62-vwtaGQ
Legend of Hell House (1973),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=pacLdQdJJpY
Knock at the Cabin (2023),Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=0wiBHEACNHs
Ghost Story (1981),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=upGQpr5CwMA
Thir13en Ghosts (20010,Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=n1yZl9HVLd0
Audition (1999),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=fX746b8pDVg
When Evil Lurks Trailer (2023),Drag Me to Hell,Good,Buckets & Buckets,https://www.youtube.com/watch?v=YrTnV6gNzno
Annihalation (2018),Drag Me to Hell,Excellent,Missing Limbs,https://www.youtube.com/watch?v=89OP78l9oF0
Climax (2018),Drag Me to Hell,Great ,Missing Limbs,https://www.youtube.com/watch?v=Hi69nL_VrTE
Substance (2024),Drag Me to Hell,Great ,Buckets & Buckets,https://www.youtube.com/watch?v=WZSSLSjk-cs
Dead Ringers (1988),Scare Me Some,Great ,Paper Cut,https://www.youtube.com/watch?v=-ZHbu3msmes
The Brood (1979),Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=-QaK5N0pj7M
Horror in the High Desert (2021),Drag Me to Hell,Good,Paper Cut,https://www.youtube.com/watch?v=D9hjeRE7b4c
Insidious (2010),Drag Me to Hell,Good,Missing Limbs,https://www.youtube.com/watch?v=zuZnRUcoWos
Thir13en Ghosts (2001),Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=n1yZl9HVLd0
Toolbox Murders (2004),Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=nSvezNDOCig
WolfCop (2014),Easy Watching for the Faint of Heart,Meh,Paper Cut,https://www.youtube.com/watch?v=f_P4C8x9S28
Teen Wolf (1985),Easy Watching for the Faint of Heart,Good,Not a Dop,https://www.youtube.com/watch?v=6Sao1dXr9qI
Zombeavers (2014),Easy Watching for the Faint of Heart,Meh,Missing Limbs,https://www.youtube.com/watch?v=L6I5hl1w0eg
Demonwarp (1988),Easy Watching for the Faint of Heart,Good,Paper Cut,https://www.youtube.com/watch?v=6XImtz8jXtk
Cast a Deadly Spell (1991),Easy Watching for the Faint of Heart,Great ,Paper Cut,https://www.youtube.com/watch?v=ka-1ekOcRcQ
Clown in a Cornfield (2025),Drag Me to Hell,Meh,Missing Limbs,https://www.youtube.com/watch?v=8tBSOKyyZT8
